#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=129 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:60 out:57 type:P dur:2 cpbdur:2 q:47.96 aq:38.98 tex:3936 mv:2850 misc:2094 imb:227 pmb:186 smb:7747 d:- ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:48.17 aq:36.93 tex:120 mv:246 misc:554 imb:1 pmb:24 smb:8135 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:48.28 aq:37.65 tex:46 mv:55 misc:427 imb:1 pmb:5 smb:8154 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:48.06 aq:33.00 tex:0 mv:33 misc:415 imb:0 pmb:3 smb:8157 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:47.40 aq:38.44 tex:4817 mv:3187 misc:2188 imb:238 pmb:215 smb:7707 d:- ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:47.68 aq:39.80 tex:100 mv:272 misc:588 imb:0 pmb:32 smb:8128 d:- ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:47.82 aq:41.34 tex:55 mv:38 misc:419 imb:0 pmb:4 smb:8156 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:47.54 aq:44.02 tex:31 mv:38 misc:419 imb:0 pmb:4 smb:8156 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:46.95 aq:31.23 tex:7214 mv:5266 misc:4512 imb:1044 pmb:223 smb:6893 d:- ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:47.17 aq:42.25 tex:96 mv:354 misc:630 imb:1 pmb:38 smb:8121 d:- ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:47.29 aq:32.00 tex:10 mv:65 misc:429 imb:1 pmb:5 smb:8154 d:- ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:47.06 aq:32.00 tex:0 mv:30 misc:410 imb:0 pmb:3 smb:8157 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:46.66 aq:37.08 tex:4740 mv:3254 misc:2102 imb:238 pmb:225 smb:7697 d:- ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:46.80 aq:34.78 tex:60 mv:320 misc:580 imb:2 pmb:31 smb:8127 d:- ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:46.87 aq:32.00 tex:11 mv:43 misc:418 imb:1 pmb:3 smb:8156 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:46.73 aq:32.00 tex:9 mv:16 misc:407 imb:0 pmb:2 smb:8158 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:46.19 aq:36.41 tex:5525 mv:3899 misc:2320 imb:269 pmb:274 smb:7617 d:- ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:46.43 aq:39.55 tex:157 mv:416 misc:659 imb:2 pmb:43 smb:8115 d:- ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:46.54 aq:38.46 tex:64 mv:59 misc:437 imb:0 pmb:7 smb:8153 d:- ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:46.31 aq:31.00 tex:2 mv:34 misc:412 imb:0 pmb:3 smb:8157 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:46.05 aq:36.26 tex:4911 mv:3494 misc:2155 imb:235 pmb:253 smb:7672 d:- ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:46.12 aq:34.21 tex:119 mv:552 misc:705 imb:4 pmb:54 smb:8102 d:- ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:46.16 aq:31.83 tex:22 mv:56 misc:434 imb:0 pmb:6 smb:8154 d:- ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:46.08 aq:31.00 tex:3 mv:24 misc:413 imb:0 pmb:3 smb:8157 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:46.27 aq:35.89 tex:3682 mv:3053 misc:1961 imb:175 pmb:240 smb:7745 d:- ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:46.16 aq:37.73 tex:157 mv:521 misc:706 imb:3 pmb:51 smb:8106 d:- ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:46.10 aq:38.46 tex:36 mv:76 misc:440 imb:0 pmb:7 smb:8153 d:- ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:46.22 aq:31.00 tex:1 mv:26 misc:405 imb:0 pmb:2 smb:8158 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:46.17 aq:36.96 tex:4371 mv:3235 misc:2058 imb:203 pmb:240 smb:7717 d:- ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:46.22 aq:36.13 tex:103 mv:478 misc:659 imb:0 pmb:53 smb:8107 d:- ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:46.25 aq:44.32 tex:94 mv:96 misc:474 imb:0 pmb:12 smb:8148 d:- ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:46.20 aq:37.64 tex:29 mv:5 misc:398 imb:0 pmb:1 smb:8159 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:46.06 aq:37.14 tex:4085 mv:3190 misc:2061 imb:195 pmb:247 smb:7718 d:- ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:46.12 aq:35.02 tex:67 mv:453 misc:672 imb:2 pmb:48 smb:8110 d:- ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:46.15 aq:31.00 tex:18 mv:44 misc:426 imb:1 pmb:4 smb:8155 d:- ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:46.09 aq:41.68 tex:41 mv:26 misc:413 imb:0 pmb:3 smb:8157 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:45.90 aq:33.45 tex:4798 mv:3734 misc:2492 imb:278 pmb:271 smb:7611 d:- ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:45.98 aq:33.15 tex:87 mv:649 misc:744 imb:5 pmb:62 smb:8093 d:- ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:46.02 aq:35.25 tex:76 mv:81 misc:443 imb:1 pmb:8 smb:8151 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:45.94 aq:31.00 tex:7 mv:45 misc:420 imb:1 pmb:3 smb:8156 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:45.56 aq:35.64 tex:5271 mv:3788 misc:2333 imb:260 pmb:285 smb:7615 d:- ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:45.73 aq:38.60 tex:118 mv:610 misc:728 imb:2 pmb:58 smb:8100 d:- ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:45.82 aq:36.24 tex:51 mv:85 misc:456 imb:0 pmb:9 smb:8151 d:- ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:45.64 aq:36.43 tex:51 mv:65 misc:428 imb:1 pmb:5 smb:8154 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:45.32 aq:36.41 tex:5786 mv:4168 misc:2382 imb:240 pmb:337 smb:7583 d:- ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:45.44 aq:32.60 tex:67 mv:572 misc:721 imb:2 pmb:56 smb:8102 d:- ref:0 ;
